"IDs","Gender","Age","Latino","Race","Income","Marital","zip","city","state","latitude","longitude"
"CIPG44L5JCR3",2,56,TRUE,5,5,"Single","92623","Irvine","CA",33.686519,-117.830788
"CIPG44L5D7Y4",2,56,FALSE,5,5,"Married","62849","Iuka","IL",38.594744,-88.77464
"CIPG44L5M881",2,66,FALSE,5,4,"Married","17105","Harrisburg","PA",40.278498,-76.875207
"CIPG44L65RY5",2,54,FALSE,5,1,"Married","92084","Vista","CA",33.213309,-117.21474
"CIPG44L6XRD8",2,56,TRUE,5,4,"Single","75053","Grand Prairie","TX",32.767268,-96.777626
"CIPG44L7WL96",1,41,TRUE,1,4,"Married","48832","Elwell","MI",43.411924,-84.77657
"CIPG44L7FXS6",1,66,TRUE,5,6,"Married","56014","Bricelyn","MN",43.589604,-93.81676
"CIPG44LB7LH8",2,35,FALSE,2,2,"Single","86002","Flagstaff","AZ",35.630842,-112.052427
"CIPG44L9VTH8",1,28,TRUE,5,2,"Married","21734","Funkstown","MD",39.609846,-77.70725
"CIPG44L9MT88",2,41,FALSE,5,1,"Single","96385","Volcano","HI",19.44707,-155.243925
"CIPG44LBQVD4",2,52,FALSE,2,3,"Single","53151","New Berlin","WI",42.980163,-88.09438
"CIPG44LBQ4D9",2,33,TRUE,5,5,"Married","50602","Allison","IA",42.74806,-92.80277
"CIPG44LDB549",1,26,FALSE,5,7,"Married","39851","Fort Gaines","GA",31.61,-84.99
"CIPG44LC6VH9",1,29,FALSE,3,5,"Single","58104","Fargo","ND",46.812118,-96.839
"CIPG44LDZDD2",1,34,FALSE,5,4,"Married","07822","Augusta","NJ",41.139545,-74.6993
"CIPG44LF6ST5",2,52,FALSE,5,7,"Single","39762","Mississippi State","MS",33.453349,-88.79107
"CIPG44LF45L7",2,29,FALSE,5,4,"Married","37382","Summitville","TN",35.497637,-86.07482
"CIPG44LFXDT2",2,35,FALSE,5,4,"Single","60083","Wadsworth","IL",42.428187,-87.92935
"CIPG44LHF5D4",2,57,FALSE,5,7,"Married","78002","Atascosa","TX",29.288108,-98.72878
"CIPG44LHCR43",2,42,FALSE,5,5,"Married","59007","Bearcreek","MT",45.159808,-109.14649
"CIPG44LJFF62",1,23,FALSE,2,5,"Single","46713","Bippus","IN",40.829196,-85.489198
"CIPG44LHJMV5",1,37,TRUE,4,5,"Married","56389","West Union","MN",45.799542,-95.08213
"CIPG44LH29C3",1,31,TRUE,5,4,"Single","17125","Harrisburg","PA",40.266221,-76.882854
"CIPG44LKP4J0",1,44,TRUE,4,5,"Married","72214","Little Rock","AR",34.762141,-92.228248
"CIPG44LKH342",2,71,FALSE,5,5,"Single","63099","Fenton","MO",38.638318,-90.427118
"CIPG44LLZR69",2,23,FALSE,5,5,"Married","74702","Durant","OK",33.921979,-96.191767
"CIPG44LM3VM6",1,22,FALSE,5,4,"Single","98195","Seattle","WA",47.432251,-121.803388
"CIPG44LNN5X2",2,38,FALSE,2,6,"Married","64501","Saint Joseph","MO",39.766144,-94.84504
"CIPG44LPYPH2",1,39,FALSE,3,4,"Single","98908","Yakima","WA",46.605303,-120.61762
"CIPG44LQ4CJ5",1,26,FALSE,3,3,"Married","30417","Claxton","GA",32.162077,-81.90984
"CIPG44LRCXZ0",2,58,FALSE,5,6,"Married","44804","Arcadia","OH",41.117339,-83.52652
"CIPG44LRLS51",2,45,FALSE,5,1,"Single","56007","Albert Lea","MN",43.652042,-93.36916
"CIPG44LT5WT9",1,63,TRUE,5,6,"Single","90055","Los Angeles","CA",33.786594,-118.298662
"CIPG44LR7J94",2,67,FALSE,5,6,"Married","76950","Sonora","TX",30.453299,-100.56983
"CIPG44LQSWN4",2,61,FALSE,5,4,"Single","77248","Houston","TX",29.83399,-95.434241
"CIPG44LTBK81",1,32,TRUE,4,6,"Single","02343","Holbrook","MA",42.148351,-71.01037
"CIPG44LTVYZ9",2,32,FALSE,3,7,"Married","72190","North Little Rock","AR",34.751918,-92.392487
"CIPG44LVD2N7",2,61,TRUE,5,4,"Married","54729","Chippewa Falls","WI",44.932711,-91.38877
"CIPG44LBMDZ6",1,34,FALSE,4,5,"Single","23440","Tangier","VA",37.847652,-75.99404
"CIPGHKPV97R5",1,32,FALSE,3,4,"Married","81223","Cotopaxi","CO",38.357344,-105.53192
"CIPGHKPWDNR6",2,38,FALSE,5,7,"Married","92711","Santa Ana","CA",33.640302,-117.769442
"CIPGHKPVRXX9",1,66,FALSE,3,5,"Married","17841","McClure","PA",40.714443,-77.34934
"CIPGHKQM8RD2",2,52,FALSE,2,5,"Single","75783","Quitman","TX",32.810076,-95.4355
"CIPGHKQN4J66",2,71,FALSE,5,1,"Married","97330","Corvallis","OR",44.608694,-123.2752
"CIPGHKQMDPQ4",1,74,FALSE,5,3,"Single","25855","Hilltop","WV",37.94251,-81.14995
"CIPGHKQMM4M3",2,63,FALSE,5,2,"Single","57578","Wewela","SD",43.026834,-99.81844
"CIPGHKQVQLT7",2,51,FALSE,2,2,"Married","25140","Naoma","WV",37.883223,-81.48001
"CIPGHKQVJVR7",1,44,FALSE,4,1,"Married","11424","Jamaica","NY",40.651378,-73.870779
"CIPGHKR2DTS2",2,64,FALSE,5,6,"Married","67106","Milton","KS",37.447829,-97.75943
"CIPG@KQNC4Y8",1,56,FALSE,5,1,"Single","77077","Houston","TX",29.750897,-95.61255
"CIPGHKQVH5R5",1,71,FALSE,5,3,"Married","76714","Waco","TX",31.553646,-97.203166
"CIPGHKQZVR34",1,22,TRUE,5,5,"Married","75667","Laneville","TX",31.981458,-94.85741
"CIPGHKRCXSH7",1,52,TRUE,5,4,"Single","20898","Gaithersburg","MD",39.143979,-77.207617
"CIPGHKRFS4B8",2,37,FALSE,4,6,"Married","11964","Shelter Island","NY",41.060843,-72.33159
"CIPGHKSC92Z5",1,35,FALSE,5,4,"Single","42732","Eastview","KY",37.606543,-86.10413
"CIPGHKXW5B35",1,63,FALSE,2,2,"Single","92114","San Diego","CA",32.706954,-117.0542
"CIPGHKY5WB63",2,29,FALSE,5,5,"Married","54454","Milladore","WI",44.620203,-89.87223
"CIPGHKYF4776",2,52,TRUE,5,4,"Single","93528","Johannesburg","CA",35.366197,-117.63618
"CIPGHKZ6RMB5",2,63,FALSE,5,4,"Single","04984","Temple","ME",44.688292,-70.23773
"CIPGHKZ7Y6H2",1,74,FALSE,5,6,"Married","50531","Dolliver","IA",43.465883,-94.61632
