"StoreID","Longitude","Latitude","StoreName","Address","City","State","Phone.Number","POSInstalled","OwnershipStatus","TransactionTotal"
1,-149.868307,61.140133,"McDonalds [WM]-Anchorage,AK","8900 Old Seward Hwy [WM]"," Anchorage","AK"," (907) 344-5831","Installed","Franchise",1917372.877
2,-149.88113,61.192426,"McDonalds [WM]-Anchorage,AK","3101 A St [WM]"," Anchorage","AK"," (907) 561-5137","Installed","Franchise",1680598.56
3,-149.898633,61.194753,"McDonalds-Anchorage,AK","800 W Northern Lights Blvd"," Anchorage","AK"," (907) 561-5525","Old-school","Owned",1961734.92
4,-149.870565,61.188348,"McDonalds-Anchorage,AK","701 E 36th Ave"," Anchorage","AK"," (907) 563-0658","Installed","Owned",2098766.121
5,-149.863246,61.139884,"McDonalds-Anchorage,AK","8915 Old Seward Hwy"," Anchorage","AK"," (907) 344-4231","Old-school","Owned",2278355.55
6,-149.85796,61.108444,"McDonalds-Anchorage,AK","1320 Huffman Rd"," Anchorage","AK"," (907) 345-5932","Installed","Franchise",1736949.224
7,-149.832325,61.181208,"McDonalds-Anchorage,AK","2601 E Tudor Rd"," Anchorage","AK"," (907) 562-2108","Installed","Franchise",2017296.998
8,-149.823633,61.219353,"McDonalds-Anchorage,AK","3006 Mountain View Dr"," Anchorage","AK"," (907) 274-5686","Old-school","Owned",2071899.982
9,-149.775086,61.209365,"McDonalds-Anchorage,AK","5716 Debarr Rd"," Anchorage","AK"," (907) 333-0413","Installed","Franchise",2240934.449
10,-149.732706,61.221371,"McDonalds-Anchorage,AK","255 Muldoon Rd"," Anchorage","AK"," (907) 337-0810","Old-school","Franchise",1820932.816
11,-149.979956,61.173019,"McDonalds-Anchorage,AK","5000 W International Airport Rd"," Anchorage","AK"," (907) 243-0085","Installed","Owned",1892306.362
12,-149.950832,61.137056,"McDonalds PlayPlace-Anchorage,AK","3828 W Dimond Blvd"," Anchorage","AK"," (907) 248-0597","Installed","Franchise",1817544.714
13,-149.936781,61.181524,"McDonalds PlayPlace-Anchorage,AK","4350 Spenard Rd"," Anchorage","AK"," (907) 243-5122","Old-school","Owned",1765723.169
14,-149.835088,61.138203,"McDonalds PlayPlace-Anchorage,AK","9100 Lake Otis Pky"," Anchorage","AK"," (907) 349-0285","Installed","Franchise",1738282.877
