Store Number,Store Name,Store Location,Address,City,State,Zip Code,Phone Number,Latitude,Longitude
1,Binghamton,Binghamton,347 Court St.,Binghamton,NY,13904,(607) 724-4361,42.1048,-75.89
2,Vestal,Town Square Mall,2433 Vestal Pkwy East,Vestal,NY,13850,(607) 797-5220,42.0983,-76.0087
3,Dewitt,Shoppingtown Mall,3649 Erie Blvd East,Dewitt,NY,13214,(315) 449-2232,43.0391,-76.0652
4,Clay,Great Northern Mall,4081 State Highway 31,Clay,NY,13041,(315) 652-7674,43.1885,-76.2274
6,Greece,The Mall At Greece Ridge,304 Greece Ridge Center,Rochester,NY,14626,(585) 227-3730,43.2049,-77.6938
7,Wilkes-Barre,Arena Hub Plaza,479 Arena Hub Plaza,Wilkes-Barre,PA,18702,(570) 823-8288,41.2391,-75.8403
8,Scranton,Dickson City Crossing,600 Commerce Blvd.,Dickson City,PA,18519,(570) 963-1550,41.4628,-75.649
11,Amherst,Amherst,281 Meyer Road,Amherst,NY,14226,(716) 833-4761,42.9934,-78.8126
14,Williamsville,Eastgate Plaza,5105 Transit Rd,Williamsville,NY,14221,(716) 565-0417,42.9865,-78.6939
15,Middletown,Crystal Run Galleria,"1 N. Galleria Drive, Suite 132",Middletown,NY,10941,(845) 692-5035,41.4523,-74.3684
16,Poughkeepsie,Poughkeepsie Galleria,2001 South Rd,Poughkeepsie,NY,12601,(845) 297-4767,41.6253,-73.9216
17,Springhurst,Springhurst Town Center,3555 Springhurst Blvd,Louisville,KY,40241,(502) 429-0776,38.298,-85.5588
19,Hurstbourne,Stoneybrook Shopping Center,3500 S Hurstbourne Pkwy,Louisville,KY,40299,(502) 499-9029,38.1981,-85.6048
20,Latham,Latham Farms Shopping Center,579 Troy/Schenectady Road #124,Colonie,NY,12110,(518) 783-0701,42.753,-73.7615
22,Saratoga,Wilton Mall At Saratoga,3065 Rt. 50,Saratoga Springs,NY,12866,(518) 583-7218,43.1036,-73.7374
23,Reading,Broadcasting Square,"2767 Paper Mill Road, Space F",Reading,PA,19610,(610) 373-7366,40.3595,-75.9827
24,Washington,Strabane Square,347 Washington Road,Washington,PA,15301,(724) 229-7556,40.1893,-80.2265
26,Lexington,Hamburg Pavilion,1968 Pavillion Way,Lexington,KY,40509,(859) 264-8800,38.0241,-84.4157
28,Victor,Cobblestone Court,20 Cobblestone Court Drive,Victor,NY,14564,(585) 223-1530,43.0306,-77.4379
30,Erie,Millcreek Pavilion,2088 Interchange Rd,Erie,PA,16565,(814) 864-3500,42.07,-80.1044
31,York,Market Square,Rt. 30 & Kenneth Road,York,PA,17404,(717) 848-1696,39.9746,-76.7625
32,Newington,Turnpike Plaza,2985 Berlin Turnpike,Newington,CT,06111,(860) 666-3877,41.6684,-72.7217
